employer_id,employer_name,contact_name,email,phone,status
1001,Lakeside Manufacturing Inc,Janet Torres,jtorres@lakesidemfg.com,906-555-0110,Active
1002,Northern Timber Products LLC,Mark Hendricks,mhendricks@northerntimber.com,906-555-0221,Active
1003,Superior Copper Mining Co,Sandra Whitfield,swhitfield@superiorcopper.com,906-555-0332,Active
1004,Iron Range Logistics Group,Robert Kinnunen,rkinnunen@ironrangelogistics.com,906-555-0443,Active
1005,Peninsula Health Systems,Dr. Lisa Makinen,lmakinen@peninsulahealth.org,906-555-0554,Active
1006,Great Lakes Engineering,Thomas Jarvi,tjarvi@greatlakeseng.com,906-555-0665,Active
1007,Marquette Financial Services,Amy Rajala,arajala@marquettefinancial.com,906-555-0776,Active
1008,Keweenaw Adventure Tours,Brian Saari,bsaari@keweenawadventure.com,906-555-0887,Active
1009,Sault Area Schools District,Karen Niemi,kniemi@saultschools.edu,906-555-0998,Active
1010,Mackinac Bridge Authority,David Lahti,dlahti@mackinacbridge.gov,906-555-1109,Active
1011,Houghton Tech Solutions,Inactive Company,closed@example.com,906-555-0000,Inactive
